player.name,team.name,label,pass.recipient.name,date,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,dangerzone_entry
E. Larsen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",K. Pedersen,"August 16, 2024 at 2:00:00 PM GMT+2",85.0,87.0,91.0,59.0,,,True
K. Pedersen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",A. Lund Jørgensen,"August 16, 2024 at 2:00:00 PM GMT+2",92.0,73.0,96.0,51.0,,,True
O. Haugstrup,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",S. Schøt,"August 16, 2024 at 2:00:00 PM GMT+2",76.0,55.0,89.0,38.0,,,True
F. Elkjær Andersen,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",S. Schøt,"August 16, 2024 at 2:00:00 PM GMT+2",100.0,100.0,97.0,48.0,,,True
F. Elkjær Andersen,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",,"August 16, 2024 at 2:00:00 PM GMT+2",72.0,34.0,88.0,56.0,,,True
M. Svane,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",E. Omerovic,"August 16, 2024 at 2:00:00 PM GMT+2",100.0,100.0,98.0,56.0,,,True
M. Svane,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",E. Omerovic,"August 16, 2024 at 2:00:00 PM GMT+2",87.0,92.0,90.0,60.0,,,True
E. Larsen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",M. Svane,"August 16, 2024 at 2:00:00 PM GMT+2",89.0,89.0,91.0,52.0,,,True
M. Kruse,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",K. Pedersen,"August 16, 2024 at 2:00:00 PM GMT+2",87.0,0.0,93.0,38.0,,,True
S. Stefánsson,AGF U19,"Esbjerg U19 - AGF U19, 1 - 2",F. Emmery,"August 16, 2024 at 2:00:00 PM GMT+2",71.0,75.0,87.0,44.0,,,True
J. Jensen,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",A. Cehobasic,"August 16, 2024 at 2:00:00 PM GMT+2",97.0,24.0,89.0,48.0,,,True
M. Kruse,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",C. E. Lauridsen,"August 16, 2024 at 2:00:00 PM GMT+2",87.0,0.0,92.0,43.0,,,True
B. Baldursson,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",J. Jensen,"August 16, 2024 at 2:00:00 PM GMT+2",68.0,90.0,96.0,48.0,,,True
Y. Ouorou,Horsens U19,"Horsens U19 - Midtjylland U19, 0 - 2",S. Traoré,"August 17, 2024 at 12:30:00 PM GMT+2",99.0,32.0,98.0,51.0,,,True
A. Lodberg,Midtjylland U19,"Horsens U19 - Midtjylland U19, 0 - 2",G. Bjerge,"August 17, 2024 at 12:30:00 PM GMT+2",72.0,40.0,90.0,50.0,,,True
A. Lodberg,Midtjylland U19,"Horsens U19 - Midtjylland U19, 0 - 2",G. Bjerge,"August 17, 2024 at 12:30:00 PM GMT+2",93.0,11.0,94.0,61.0,,,True
N. Tornvig,Midtjylland U19,"Horsens U19 - Midtjylland U19, 0 - 2",J. Arinze,"August 17, 2024 at 12:30:00 PM GMT+2",93.0,35.0,88.0,40.0,,,True
H. Toftegaard,Horsens U19,"Horsens U19 - Midtjylland U19, 0 - 2",F. Roslyng Christiansen,"August 17, 2024 at 12:30:00 PM GMT+2",94.0,13.0,94.0,61.0,,,True
S. Kristiansen,Midtjylland U19,"Horsens U19 - Midtjylland U19, 0 - 2",N. Tornvig,"August 17, 2024 at 12:30:00 PM GMT+2",78.0,11.0,89.0,49.0,,,True
H. Toftegaard,Horsens U19,"Horsens U19 - Midtjylland U19, 0 - 2",R. Nybo,"August 17, 2024 at 12:30:00 PM GMT+2",79.0,22.0,93.0,61.0,,,True
