team.name,label,date,location.x,location.y,minute,shot.xg
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",82.0,63.0,1,0.005637
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",86.0,66.0,2,0.04728
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",86.0,70.0,5,0.03307
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",86.0,48.0,11,0.04659
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",92.0,64.0,14,0.0322
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",80.0,70.0,15,0.03439
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",77.0,33.0,16,0.01862
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",88.0,29.0,21,0.03016
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",86.0,46.0,25,0.1545
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",80.0,42.0,39,0.04592
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",80.0,53.0,42,0.06156
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",86.0,45.0,44,0.1348
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",96.0,40.0,48,0.2087
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",93.0,33.0,51,0.0926
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",92.0,44.0,55,0.3896
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",81.0,47.0,58,0.02804
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",88.0,45.0,59,0.1392
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",72.0,57.0,63,0.0016
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",92.0,47.0,65,0.1056
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",89.0,47.0,68,0.2986
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",93.0,56.0,69,0.3434
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",87.0,36.0,72,0.02541
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",77.0,35.0,79,0.05341
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",96.0,52.0,85,0.2541
Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",86.0,31.0,89,0.08427
SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",75.0,62.0,89,0.04805
Lyngby U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",78.0,51.0,5,0.04899
Lyngby U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",81.0,55.0,12,0.02797
Lyngby U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",80.0,68.0,15,0.001615
Horsens U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",74.0,61.0,22,0.02437
Lyngby U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",93.0,66.0,27,0.1768
Lyngby U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",78.0,41.0,30,0.05875
Horsens U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",87.0,52.0,32,0.1807
Lyngby U19,"Lyngby U19 - Horsens U19, 3 - 1","October 28, 2023 at 1:00:00 PM GMT+2",78.0,60.0,35,0.03521
